Filename,Subject,PublicationDate,PDFSize,Series,PDFLink,Description,QueryPage,PageLink,Author
cr1754,"['Article IV consultation reports', 'Banks', 'Corporate sector', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'India', 'Labor market reforms', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']","February 22, 2017",3890 KB,Country Report No. 17/54,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1754.ashx,"The Indian economy has recorded strong growth in recent years, helped by a large terms of trade gain, positive policy actions including implementation of key structural reforms, a return to normal monsoon rainfall, and reduced external vulnerabilities. Inflation has remained low after the collapse in global commodity prices, a range of supply-side measures, and a relatively tight monetary stance. Key macroeconomic challenges include persistently-high household inflation expectations and large fiscal deficits, which limit policy space for supporting growth through demand measures. Supply bottlenecks and structural impediments are the main constraints to medium-term growth and job creation.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/22/India-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-Executive-44670,International Monetary Fund. Asia and Pacific Dept
cr1756,"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Malta', 'Press releases', 'Private sector', 'Public enterprises', 'Staff Reports']","February 21, 2017",1646 KB,Country Report No. 17/56,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1756.ashx,"Malta has recorded robust growth in recent years. Vibrant domestic demand, favorable external conditions, and further progress with structural reforms supported solid job creation, particularly in services, and reduced unemployment to record-lows. This strong performance, together with fiscal discipline, contributed to continued deficit and public debt reduction while solid profitability and adequate capitalization have kept the banking system stable and resilient.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/21/Malta-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-Executive-44672,International Monetary Fund. European Dept.
cr1753,"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Flexible exchange rate policy', 'Lao P. D..R.', 'Millennium Development Goals', 'Monetary policy', 'Press releases', 'Reserves accumulation', 'Staff Reports']","February 15, 2017",2994 KB,Country Report No. 17/53,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1753.ashx,"Growth remains strong, although it has slowed as the economy faces headwinds from major trading partners, low metals prices and a slowdown in agriculture. Inflation has risen slightly but remains contained. Domestic risks include a sustained reversal of fiscal consolidation, high public debt and weak public banks. On the external front, a tightly managed and overvalued exchange rate, low reserves and dollarization make Laos vulnerable to terms of trade shocks or capital flows reversals.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/15/Lao-People-s-Democratic-Republic-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-44669,International Monetary Fund. Asia and Pacific Dept
cr1750,"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Currency boards', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Labor markets', 'Macao SAR', 'Press releases', 'Staff Reports', 'Tourism']","February 14, 2017",1555 KB,Country Report No. 17/50,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1750.ashx,"In recent years, the Macao SAR economy contracted by a cumulative 30 percent due to a sharp fall in spending by gaming tourists from Mainland China. Spillovers to the rest of the economy were relatively contained with unemployment staying under 2 percent and asset quality in the financial sector unaffected. Nonetheless, the size and speed of the shock underscored the need to transition to a more diversified economic model going forward. Fortunately, Macao SAR is entering this transition from a position of strength with large fiscal and external buffers.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/14/People-s-Republic-of-China-Macao-Special-Administrative-Region-2016-Article-IV-Consultation-44661,International Monetary Fund. Asia and Pacific Dept
cr1742,"['Article IV consultation reports', 'Australia', 'Balance of payments statistics', 'Debt sustainability analysis', 'Demand', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Labor markets', 'Monetary policy', 'Press releases', 'Staff Reports']","February 9, 2017",2049 KB,Country Report No. 17/42,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1742.ashx,"Australia has enjoyed a robust economic performance despite the commodity price and mining investment bust. The moderate impact of the large shocks since 2011 reflects prompt monetary easing, a flexible exchange rate acting as a shock absorber, export orientation to the dynamic Asia region, flexible labor markets, relatively high population growth, and strong institutions. Nevertheless, Australia has also been confronted with symptoms of the “new mediocre” since the Global Financial Crisis, including a downshift in average GDP growth. And with declining interest rates, already high house prices and household debt ratios have started to rise again.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/09/Australia-2016-Article-IV-Consultation-Press-Release-Staff-Report-Staff-Statement-and-44632,International Monetary Fund. Asia and Pacific Dept
cr1740,"['Article IV consultation reports', 'Balance of payments statistics', 'Banking sector', 'Capital controls', 'Debt relief', 'Debt sustainability analysis', 'Exchange restrictions', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal reforms', 'Greece', 'Press releases', 'Staff Reports', 'Tax evasion']","February 7, 2017",3309 KB,Country Report No. 17/40,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1740.ashx,"Despite the policy constraints imposed by its membership in the currency union, Greece has made significant progress in unwinding its macroeconomic imbalances. But extensive fiscal consolidation and internal devaluation have come with substantial costs for society, which contributed to delays in reform implementation and to policy reversals since the last Article IV Consultation, culminating in a renewed crisis of confidence in 2015. Since then, the situation has stabilized, and growth is estimated to have resumed modestly in 2016. Notwithstanding the substantial progress achieved by Greece, it still faces fundamental challenges: (i) a vulnerable structure of the public finances; (ii) significant tax evasion and an ineffective tax administration; (iii) impaired bank and private sector balance sheets; and (iv) pervasive structural obstacles to investment and growth. Moreover, its public debt remains highly unsustainable, despite generous official relief already provided by its European partners.  Addressing these remaining challenges and restoring debt sustainability are essential to creating a vibrant and dynamic private sector capable of generating sustainable and equitable growth and employment.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/07/Greece-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44630,International Monetary Fund. European Dept.
cr1739,"['Angola', 'Article IV consultation reports', 'Bank supervision', 'Banking sector', 'Current account balances', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Monetary policy', 'Oil prices', 'Oil revenues', 'Press releases', 'Staff Reports']","February 6, 2017",1742 KB,Country Report No. 17/39,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1739.ashx,"The oil price shock that started in mid-2014 has substantially reduced fiscal revenue and exports, with growth coming to a halt and inflation accelerating sharply. This has brought to the forefront the need to address more forcefully vulnerabilities and dependence on oil, and to diversify the economy. The authorities have taken steps to mitigate the impact of the external shock: an 18 percent of GDP improvement in the non-oil primary fiscal balance over 2015-16, mainly through spending cuts including the removal of fuel subsidies, has been implemented; and the kwanza has been devalued against the U.S. dollar by over 40 percent since September 2014, with international reserves being used to smooth the depreciation. However, the exchange rate has been re-pegged since April 2016 leading to an appreciation of the kwanza in real terms, and further policy actions are needed to continue adjusting the economy to the ‘new normal’ in the oil market and to return growth to a level consistent with poverty reduction.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/06/Angola-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44628,International Monetary Fund. African Dept.
cr1736,"['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Current account deficits', 'Debt sustainability analysis', 'Economic indicators', 'Fiscal consolidation', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Morocco', 'Press releases', 'Public debt', 'Staff Reports']","February 3, 2017",2165 KB,Country Report No. 17/36,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1736.ashx,"Macroeconomic conditions have improved since 2012 despite sluggish growth. In 2016, growth slowed due to a sharp contraction in agricultural output and subdued non-agricultural activity; the fiscal deficit is estimated to have declined to 
3.5 percent of GDP; the current account deficit widened slightly to 2.9 percent of GDP; and international reserves strengthened to about seven months of imports. Reforms are advancing, including of the public pension system and the transition to a new exchange rate and monetary regime. Banks are adequately capitalized, but non-performing loans (NPLs) are increasing and credit concentration risks need to be reduced.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Morocco-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44620,International Monetary Fund. Middle East and Central Asia Dept.
cr1737,"['Article IV consultation reports', 'Corporate sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Indonesia', 'Monetary policy', 'Press releases', 'Private investment', 'Staff Reports', 'Tax reforms']","February 3, 2017",6050 KB,Country Report No. 17/37,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1737.ashx,"The Indonesian economy continues to perform well, supported by robust growth and greater macroeconomic stability. A prudent mix of macroeconomic policies and structural reforms has helped the economy weather the commodity down-cycle and several episodes of emerging market (EM) financial turbulence. Securing and boosting growth in a more uncertain external environment requires maintaining policy buffers, while upgrading the medium-term framework through fiscal and structural reforms.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=1,http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Indonesia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44621,International Monetary Fund. Asia and Pacific Dept
cr1732,"['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Monetary policy', 'Political economy', 'Press releases', 'Reserves accumulation', 'Staff Reports', 'Turkey']","February 3, 2017",2565 KB,Country Report No. 17/32,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1732.ashx,"After robust growth through Q1 2016, the expansion has slowed. Growth is projected at 2.7 percent in 2016 and 2.9 percent in 2017 with considerable downward risks. Domestic consumption is the main growth driver, supported by a large increase in public expenditure and a hike in the minimum wage. However, political uncertainty, weakened corporate profitability, anemic credit growth, and a sharp fall in tourism have taken a toll on investment and net exports. The monetary stance and macro prudential measures were loosened, but credit growth continues to slow. A negative output gap is opening, but sticky expectations are keeping inflation above target. External imbalances persist: the current account deficit remains large and the NIIP is projected to become more negative. External financing conditions were favorable in the first semester, helping the rollover of large financing needs and supporting the Lira. However, political uncertainty after the failed coup attempt and a less favorable external environment are weakening the Lira and increasing the cost of external financing.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Turkey-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44614,International Monetary Fund. European Dept.
cr1726,"['Article IV consultation reports', 'Austria', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial stability', 'Fiscal policy', 'Fiscal reforms', 'Press releases', 'Staff Reports']","February 2, 2017",1543 KB,Country Report No. 17/26,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1726.ashx,"Austria is prosperous and stable. Nevertheless, it can still improve its economic performance to ensure a continuing rise in incomes and employment within a stable macroeconomic environment. To this end, a comprehensive package of structural and fiscal reforms can raise low GDP growth and ensure the steady decline of public debt. Financial system stability needs to be maintained in a challenging environment.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/02/02/Austria-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-for-Austria-44608,International Monetary Fund. European Dept.
cr1730,"['Article IV consultation reports', 'Balance of payments statistics', 'Budget deficits', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Myanmar', 'Press releases', 'Staff Reports']","February 2, 2017",2117 KB,Country Report No. 17/30,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1730.ashx,Myanmar’s historic general elections in late 2015 resulted in a wave of optimism. Foreign investor interest is strong and development partners are scaling up their engagement. The new government was formed in April and is articulating its economic plans as an integral part of political and economic transition.,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/02/02/Myanmar-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44612,International Monetary Fund. Asia and Pacific Dept
cr1728,"['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Infrastructure', 'Monetary policy', 'Press releases', 'Public investment', 'Staff Reports', 'Uruguay']","February 1, 2017",1650 KB,Country Report No. 17/28,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1728.ashx,"Prudent macroeconomic policies, strong institutions, and a commitment to diversify its markets and products have allowed Uruguay to show resilience in the face of sharp recessions in its large neighbors. Nevertheless, economic growth slowed down in 2015 and 2016 while inflation remains above target. In 2017, an improving regional environment is expected to contribute to a modest further recovery, while inflation should slowly converge towards the target range. Given rising debt and high inflation, the room for more expansionary fiscal or monetary policy is limited.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/02/01/Uruguay-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44610,International Monetary Fund. Western Hemisphere Dept.
cr1722,"['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Government expenditures', 'Monetary policy', 'Papua New Guinea', 'Press releases', 'Staff Reports']","January 30, 2017",2859 KB,Country Report No. 17/22,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1722.ashx,"Papua New Guinea (PNG) is a resource-rich economy, but low commodity prices and a major drought have weighed on economic growth and created fiscal challenges. Inflation has increased somewhat, partly reflecting the gradual exchange rate depreciation. Foreign exchange (FX) is in short supply, although inflows have recently picked up somewhat and the gross foreign reserve position is expected to remain broadly stable. Non-resource sector growth remains modest, underscoring the need for structural reform. In the lead-up to mid-2017 elections, the political situation has been more fluid than usual.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/30/Papua-New-Guinea-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44596,International Monetary Fund. Asia and Pacific Dept
cr1723,"['Article IV consultation reports', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Labor market reforms', 'Labor markets', 'Press releases', 'Spain', 'Staff Reports', 'Unemployment']","January 30, 2017",1857 KB,Country Report No. 17/23,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1723.ashx,"The recovery is strong and imbalances are falling fast, aided by past reforms. External tailwinds and expansionary fiscal policy also buoyed activity and job creation. The economy is now more resilient but adjustments are incomplete and structural weaknesses persist. In particular, high unemployment, elevated public debt and shortcomings in the regional fiscal framework, feeble productivity growth, and the still large negative net international investment position pose policy challenges.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/30/Spain-2016-Article-IV-Consultation-Press-Release-Staff-Report-Informational-Annex-Staff-44599,International Monetary Fund. European Dept.
cr1719,"['Article IV consultation reports', 'Balance of payments statistics', 'Current account deficits', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal risk', 'Lebanon', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']","January 24, 2017",2185 KB,Country Report No. 17/19,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1719.ashx,"Following an extended impasse, Lebanon has a new president and a new prime minister, paving the way for a number of political changes. When formed, the new government will face a challenging policy environment. The Syrian crisis continues to dominate Lebanon’s economic outlook, and the associated influx of refugees (about a quarter of the population) has few, if any, international parallels. GDP growth is still subdued and Lebanon’s debt burden is rising, despite modest primary surpluses. Moreover, the economy remains vulnerable to shifts in deposit inflows, which have slowed notably since last year’s Article IV consultation. Most recently, the Banque du Liban (BdL) engaged in a sizable financial operation that has (among other objectives) helped restore international reserves.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/24/Lebanon-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44572,International Monetary Fund. Middle East and Central Asia Dept.
cr1715,"['Article IV consultations', 'Banking sector', 'Currency pegs', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal reforms', 'Kuwait', 'Labor market reforms', 'Nonoil sector', 'Oil prices', 'Press releases', 'Private sector', 'Staff Reports']","January 17, 2017",1708 KB,Country Report No. 17/15,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1715.ashx,"With large financial buffers, low debt, and a well-capitalized financial sector, the country is well positioned to face “lower-for-longer” oil prices. Nonetheless, fiscal and external balances have weakened and nonoil growth has softened somewhat. The main policy priorities are to sustain reforms to gradually raise fiscal savings, reduce susceptibility to oil price cycles, and boost private sector growth and job creation.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/17/Kuwait-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44532,International Monetary Fund. Middle East and Central Asia Dept.
cr1709,"['Article IV consultation reports', 'Balance of payments statistics', 'Banks', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Estonia', 'Financial sector', 'Fiscal policy', 'Global competitiveness', 'Press releases', 'Social indicators', 'Staff Reports', 'Wage increases']","January 13, 2017",1265 KB,Country Report No. 17/9,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1709.ashx,"Effectively addressing low productivity growth and risks to competitiveness requires a three-pronged approach: (i) making growth promotion more effective through oversight of programs by a dedicated productivity unit in the Prime Ministry, better calibrating programs to company’s needs, incentivizing take-up, and scaling-up selected programs; (ii) re-anchoring wage developments in fundamentals by moderating government and minimum wage policies and mobilizing additional labor resources for the private sector, including through faster reduction of government employment; and (iii) social security contribution cuts to provide relief from pressures on profitability.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/13/Republic-of-Estonia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-44524,International Monetary Fund. European Dept.
cr1711,"['Article IV consultation reports', 'Balance of payments statistics', 'China', 'Debt sustainability analysis', 'Economic indicators', 'External Sector Report', 'Financial sector', 'Fiscal policy', 'Hong Kong SAR', 'Housing', 'Housing prices', 'Press releases', 'Staff Reports']","January 12, 2017",3712 KB,Country Report No. 17/11,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1711.ashx,The vibrant Hong Kong SAR economy has been supported by low interest rates and mainland China’s economic development over the past decade. But the external outlook is now more challenging. Long-term issues such as aging and a housing supply shortage also loom. Strong policy frameworks and ample buffers are in place to weather a less favorable environment. Prudent fiscal policy and intensive supervision of the financial system have built buffers that can be drawn on when needed.,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=2,http://www.imf.org/en/Publications/CR/Issues/2017/01/12/People-s-Republic-of-China-Hong-Kong-Special-Administrative-Region-2016-Article-IV-44527,International Monetary Fund. Asia and Pacific Dept
cr1701,"['Article IV consultation reports', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial stability', 'Fiscal policy', 'Global competitiveness', 'Letters of Intent', 'Policy Support Instrument', 'Press releases', 'Private sector', 'Senegal', 'Staff reports']","January 4, 2017",1987 KB,Country Report No. 17/1,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1701.ashx,"Implementation of the “Plan Sénégal Emergent” (PSE) is beginning to pay dividends, contributing to projected growth of over 6 percent for the second year in a row. However, for growth to be sustained, further reforms are needed to improve the business environment and create economic space for private domestic and foreign investment. The challenge of meeting infrastructure development objectives without undermining debt sustainability will require continuing efforts to improve the quality of investment while pursuing a prudent debt strategy that keeps the cost of borrowing at reasonable rates. Failure to strengthen debt management and master treasury operations may jeopardize the rating of low risk of debt distress.",http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2016&page=3,http://www.imf.org/en/Publications/CR/Issues/2017/01/10/Senegal-Staff-Report-for-the-Article-IV-Consultation-and-Third-Review-Under-the-Policy-44505,International Monetary Fund. African Dept.
